Product_ID,Title,Price,Category,Brand,Rating,Stock,Discount_Percentage
1,Essence Mascara Lash Princess,9.99,beauty,Essence,2.56,99,10.48
2,Eyeshadow Palette with Mirror,19.99,beauty,Glamour Beauty,2.86,34,18.19
3,Powder Canister,14.99,beauty,Velvet Touch,4.64,89,9.84
4,Red Lipstick,12.99,beauty,Chic Cosmetics,4.36,91,12.16
5,Red Nail Polish,8.99,beauty,Nail Couture,4.32,79,11.44
6,Calvin Klein CK One,49.99,fragrances,Calvin Klein,4.37,29,1.89
7,Chanel Coco Noir Eau De,129.99,fragrances,Chanel,4.26,58,16.51
8,Dior J'adore,89.99,fragrances,Dior,3.8,98,14.72
9,Dolce Shine Eau de,69.99,fragrances,Dolce & Gabbana,3.96,4,0.62
10,Gucci Bloom Eau de,79.99,fragrances,Gucci,2.74,91,14.39
11,Annibale Colombo Bed,1899.99,furniture,Annibale Colombo,4.77,88,8.57
12,Annibale Colombo Sofa,2499.99,furniture,Annibale Colombo,3.92,60,14.4
13,Bedside Table African Cherry,299.99,furniture,Furniture Co.,2.87,64,19.09
14,Knoll Saarinen Executive Conference Chair,499.99,furniture,Knoll,4.88,26,2.01
15,Wooden Bathroom Sink With Mirror,799.99,furniture,Bath Trends,3.59,7,8.8
16,Apple,1.99,groceries,Not Available,4.19,8,12.62
17,Beef Steak,12.99,groceries,Not Available,4.47,86,9.61
18,Cat Food,8.99,groceries,Not Available,3.13,46,9.58
19,Chicken Meat,9.99,groceries,Not Available,3.19,97,13.7
20,Cooking Oil,4.99,groceries,Not Available,4.8,10,9.33
21,Cucumber,1.49,groceries,Not Available,4.07,84,0.16
22,Dog Food,10.99,groceries,Not Available,4.55,71,10.27
23,Eggs,2.99,groceries,Not Available,2.53,9,11.05
24,Fish Steak,14.99,groceries,Not Available,3.78,74,4.23
25,Green Bell Pepper,1.29,groceries,Not Available,3.25,33,0.16
26,Green Chili Pepper,0.99,groceries,Not Available,3.66,3,1.0
27,Honey Jar,6.99,groceries,Not Available,3.97,34,14.4
28,Ice Cream,5.49,groceries,Not Available,3.39,27,8.69
29,Juice,3.99,groceries,Not Available,3.94,50,12.06
30,Kiwi,2.49,groceries,Not Available,4.93,99,15.22
31,Lemon,0.79,groceries,Not Available,3.53,31,9.7
32,Milk,3.49,groceries,Not Available,2.61,27,13.74
33,Mulberry,4.99,groceries,Not Available,4.95,99,12.87
34,Nescafe Coffee,7.99,groceries,Not Available,4.82,57,1.59
35,Potatoes,2.29,groceries,Not Available,4.81,13,5.38
36,Protein Powder,19.99,groceries,Not Available,4.18,80,7.59
37,Red Onions,1.99,groceries,Not Available,4.2,82,9.9
38,Rice,5.99,groceries,Not Available,3.18,59,9.29
39,Soft Drinks,1.99,groceries,Not Available,4.75,53,17.48
40,Strawberry,3.99,groceries,Not Available,3.08,46,1.12
41,Tissue Paper Box,2.49,groceries,Not Available,2.69,86,13.28
42,Water,0.99,groceries,Not Available,4.96,53,14.92
43,Decoration Swing,59.99,home-decoration,Not Available,3.16,47,10.41
44,Family Tree Photo Frame,29.99,home-decoration,Not Available,4.53,77,14.87
45,House Showpiece Plant,39.99,home-decoration,Not Available,4.67,28,7.46
46,Plant Pot,14.99,home-decoration,Not Available,3.01,59,6.84
47,Table Lamp,49.99,home-decoration,Not Available,3.55,9,7.09
